,18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),18:8B:9D:13:84:D3 (\x00),BE:FB:E4:0B:07:76 (),18:8B:9D:35:85:20 (eduroam),18:8B:9D:13:84:DD (LU),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:13:84:DF (eduroam),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:23 (\x00),18:8B:9D:35:85:22 (LU),80:E0:1D:F9:29:40 (eduroam),80:E0:1D:F9:29:42 (LU),80:E0:1D:F9:29:4F (eduroam),18:8B:9D:35:7D:F2 (LU),80:E0:1D:F9:29:4D (LU),80:E0:1D:F9:29:4E (LU-WIFI),18:8B:9D:13:84:DE (LU-WIFI),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),18:8B:9D:03:94:10 (eduroam),18:8B:9D:35:85:2F (eduroam),18:8B:9D:03:94:1F (eduroam),18:8B:9D:03:94:1D (LU),18:8B:9D:03:94:1E (LU-WIFI),18:8B:9D:35:7D:F1 (LU-WIFI),18:8B:9D:03:99:E1 (LU-WIFI),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:35:7D:FF (eduroam),18:8B:9D:35:7D:FD (LU),18:8B:9D:35:7D:FE (LU-WIFI),18:45:93:4F:01:D9 (Arhitekts),18:8B:9D:35:7D:F3 (\x00),B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:03:94:13 (\x00),80:E0:1D:F9:29:43 (\x00),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:35:BA:12 (LU),C2:FB:E4:0B:07:76 (),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:35:BA:13 (\x00),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:BA:11 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:85:D3 (\x00),18:8B:9D:13:85:D0 (eduroam),18:8B:9D:13:85:D2 (LU),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:13:85:DF (eduroam),18:8B:9D:13:85:DE (LU-WIFI),18:8B:9D:13:AC:31 (LU-WIFI),18:8B:9D:13:85:D1 (LU-WIFI),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:22:91:F1 (LU-WIFI),18:8B:9D:13:AC:30 (eduroam),18:8B:9D:22:91:F2 (LU),18:8B:9D:22:91:F0 (eduroam),18:8B:9D:13:AC:32 (LU),18:8B:9D:22:92:01 (LU-WIFI),50:06:04:2B:52:C7 (\x00),50:06:04:2B:52:C3 (LU-WIFI),50:06:04:2B:52:C4 (LU),50:06:04:2B:52:CA (Devices),50:06:04:2B:52:CC (LU-WIFI),18:8B:9D:22:92:02 (LU),18:8B:9D:22:92:03 (\x00),50:06:04:2B:52:C5 (Devices),50:06:04:2B:52:C2 (eduroam),50:06:04:2B:52:CB (LU),50:06:04:2B:52:CD (eduroam),18:8B:9D:22:91:FC (\x00),B4:FB:E4:0B:07:75 (DF SP),80:E0:1D:9C:20:81 (LU-WIFI),18:8B:9D:22:91:FD (LU),18:8B:9D:22:91:FE (LU-WIFI),18:8B:9D:22:92:00 (eduroam),18:8B:9D:03:99:E2 (LU),80:E0:1D:9C:20:83 (\x00),18:8B:9D:22:92:0F (eduroam),18:8B:9D:22:91:F3 (\x00),80:E0:1D:9C:20:80 (eduroam),80:E0:1D:9C:20:82 (LU),D4:46:49:71:33:50 (ALHN-8DB7-5),18:8B:9D:22:92:0D (LU),18:8B:9D:22:92:0E (LU-WIFI),18:8B:9D:22:91:FF (eduroam),18:8B:9D:03:99:E3 (\x00),80:E0:1D:9C:20:8F (eduroam),18:8B:9D:03:99:E0 (eduroam),2C:31:24:C7:37:C3 (),18:8B:9D:35:7D:FC (\x00),18:8B:9D:2C:97:E2 (LU),18:8B:9D:2C:97:E3 (\x00),18:8B:9D:35:BA:1F (eduroam),18:8B:9D:2C:63:FF (eduroam),18:8B:9D:35:BA:1E (LU-WIFI),18:8B:9D:03:99:EF (eduroam),18:8B:9D:03:99:ED (LU),18:8B:9D:03:99:EE (LU-WIFI),18:8B:9D:03:99:EC (\x00),18:8B:9D:35:BA:AE (LU-WIFI),18:8B:9D:2C:97:E1 (LU-WIFI),18:8B:9D:13:99:13 (\x00),F8:0C:58:1D:94:79 (ALHN-8DB7),18:8B:9D:35:BA:A3 (\x00),42:33:06:4C:DD:DF (),18:8B:9D:35:BA:1D (LU),18:8B:9D:35:BA:1C (\x00),18:8B:9D:2C:63:FD (LU),18:8B:9D:2C:63:FE (LU-WIFI),18:8B:9D:35:BA:AC (\x00),18:8B:9D:35:BA:A2 (LU),18:8B:9D:2C:63:F2 (LU),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:35:BA:A1 (LU-WIFI),40:33:06:4C:DD:DF (ALHN-4215),BE:FB:E4:0B:07:75 (),C2:FB:E4:0B:07:75 (),room_index,measurement_index,batch_index,86:25:19:2F:F3:99 (DIRECT-UKM2020 Series),2C:31:24:C7:37:C2 (LU),18:8B:9D:2C:63:FC (\x00),18:8B:9D:13:B9:41 (LU-WIFI),18:8B:9D:35:BA:A0 (eduroam),18:8B:9D:13:85:DC (\x00),18:8B:9D:03:94:1C (\x00)
0,-60,-61,-60,-60,-64,-29,-69,-56,-68,-29,-29,-29,-56,-56,-58,-50,-59,-58,-69,-42,-42,-35,-36,-42,-35,-56,-56,-56,-50,-66,-50,-68,-68,-68,-73,-50,-64,-45,-57,-71,-73,-65,-73,-69,-68,-69,-72,-79,-79,-77,-79,-73,-85,-77,-76,-73,-77,-80,-76,-78,-82,-77,-65,-78,-62,-81,-62,-76,-79,-79,-62,-61,-61,-78,-80,-78,-73,-74,-78,-67,-77,-78,-77,-78,-77,-81,-77,-78,-73,-66,-71,-67,-81,-83,-77,-78,-83,-80,-85,-85,-84,-84,-84,-81,-77,-83,-81,-74,-83,-80,-80,-78,-80,-77,-76,-73,-85,-74,-83,-81,-82,16,7,1,,,,,,,
1,-60,-61,-60,-60,-64,-29,-69,-56,-68,-29,-29,-29,-56,-56,-58,-50,-59,-58,-69,-42,-42,-35,-36,-42,-35,-56,-56,-56,-50,-66,-50,-68,-68,-68,-73,-50,-64,-45,-57,-71,-73,-65,-73,-69,-68,-69,-72,-79,-79,-77,-79,-73,-85,-77,-76,-73,-77,-80,-76,-78,-82,-77,-65,-78,-62,-81,-62,-76,-79,-79,-62,-61,-61,-78,-80,-78,-73,-74,-78,-67,-77,-78,-77,-78,-77,-81,-77,-78,-73,-66,-71,-67,-81,-83,-77,-78,-83,-80,-85,-85,-84,-84,-84,-81,-77,-83,-81,-74,-83,-80,-80,-78,-80,-77,-76,-73,-85,-74,-83,-81,-82,16,7,2,,,,,,,
2,-60,-61,-60,-60,-64,-29,-69,-56,-68,-29,-29,-29,-56,-56,-58,-50,-59,-58,-69,-42,-42,-35,-36,-42,-35,-56,-56,-56,-50,-66,-50,-68,-68,-68,-73,-50,-64,-45,-57,-71,-73,-65,-73,-69,-68,-69,-72,-79,-79,-77,-79,-73,-85,-77,-76,-73,-77,-80,-76,-78,-82,-77,-65,-78,-62,-81,-62,-76,-79,-79,-62,-61,-61,-78,-80,-78,-73,-74,-78,-67,-77,-78,-77,-78,-77,-81,-77,-78,-73,-66,-71,-67,-81,-83,-77,-78,-83,-80,-85,-85,-84,-84,-84,-81,-77,-83,-81,-74,-83,-80,-80,-78,-80,-77,-76,-73,-85,-74,-83,-81,-82,16,7,3,,,,,,,
3,-60,-61,-60,-60,-64,-29,-69,-56,-68,-29,-29,-29,-56,-56,-58,-50,-59,-58,-69,-42,-42,-35,-36,-42,-35,-56,-56,-56,-50,-66,-50,-68,-68,-68,-73,-50,-64,-45,-57,-71,-73,-65,-73,-69,-68,-69,-72,-79,-79,-77,-79,-73,-85,-77,-76,-73,-77,-80,-76,-78,-82,-77,-65,-78,-62,-81,-62,-76,-79,-79,-62,-61,-61,-78,-80,-78,-73,-74,-78,-67,-77,-78,-77,-78,-77,-81,-77,-78,-73,-66,-71,-67,-81,-83,-77,-78,-83,-80,-85,-85,-84,-84,-84,-81,-77,-83,-81,-74,-83,-80,-80,-78,-80,-77,-76,-73,-85,-74,-83,-81,-82,16,7,4,,,,,,,
4,-60,-61,-60,-60,-64,-29,-69,-56,-68,-29,-29,-29,-56,-56,-58,-50,-59,-58,-69,-42,-42,-35,-36,-42,-35,-56,-56,-56,-50,-66,-50,-68,-68,-68,-73,-50,-64,-45,-57,-71,-73,-65,-73,-69,-68,-69,-72,-79,-79,-77,-79,-73,-85,-77,-76,-73,-77,-80,-76,-78,-82,-77,-65,-78,-62,-81,-62,-76,-79,-79,-62,-61,-61,-78,-80,-78,-73,-74,-78,-67,-77,-78,-77,-78,-77,-81,-77,-78,-73,-66,-71,-67,-81,-83,-77,-78,-83,-80,-85,-85,-84,-84,-84,-81,-77,-83,-81,-74,-83,-80,-80,-78,-80,-77,-76,-73,-85,-74,-83,-81,-82,16,7,5,,,,,,,
5,-62,-62,-62,-62,-69,-28,-61,-50,-61,-27,-28,-28,-50,-50,-62,-52,-62,-61,-61,-40,-40,-39,-38,-40,-38,-48,-48,-48,-52,-67,-51,-63,-64,-64,-69,-51,-67,-45,-50,-72,-70,-68,-72,-69,-69,-70,-72,-76,-79,-77,-84,,-85,-77,-76,-73,-76,-80,-76,-78,-82,-81,,-78,,-81,,-81,-79,-79,,,,-78,-80,-78,-73,-78,-78,-66,-77,,-77,-78,-79,-81,,,-73,-66,,-67,-80,,-77,-78,-83,-78,-85,-85,-84,-84,-84,-79,-77,-83,-81,-75,-83,-80,-80,-80,-80,-77,-76,-72,-85,-74,-83,-81,-82,16,7,6,-80,-79,-79,,,,
6,-62,-62,-62,-62,-69,-28,-61,-50,-61,-27,-28,-28,-50,-50,-62,-52,-62,-61,-61,-40,-40,-39,-38,-40,-38,-48,-48,-48,-52,-67,-51,-63,-64,-64,-69,-51,-67,-45,-50,-72,-70,-68,-72,-69,-69,-70,-72,-76,-79,-77,-84,,-85,-77,-76,-73,-76,-80,-76,-78,-82,-81,,-78,,-81,,-81,-79,-79,,,,-78,-80,-78,-73,-78,-78,-66,-77,,-77,-78,-79,-81,,,-73,-66,,-67,-80,,-77,-78,-83,-78,-85,-85,-84,-84,-84,-79,-77,-83,-81,-75,-83,-80,-80,-80,-80,-77,-76,-72,-85,-74,-83,-81,-82,16,7,7,-80,-79,-79,,,,
7,-61,-61,-60,-62,-64,-29,-67,-57,-67,-29,-29,-29,-57,-56,-61,-50,-61,-61,-67,-43,-43,-35,-35,-43,-35,-55,-56,-55,-49,-66,-49,-66,-66,-67,-73,-49,-59,-45,-57,-72,-67,-64,-72,-69,-69,-70,-72,-76,-72,-77,-79,-83,-85,-78,-71,-73,-77,-80,-76,-78,-82,-81,,-78,,-81,,-81,-79,-79,,,,-75,-80,-78,-73,-78,-78,-67,-77,,-77,-78,-79,-81,,-85,-73,-67,,-67,-80,,-77,-78,-83,-83,-85,-81,-80,-81,-84,-79,-77,-83,-81,-75,-83,-80,-80,-80,-80,-77,-76,-72,-85,-74,-83,-81,-82,16,7,8,-80,-79,-79,,,,
8,-61,-61,-60,-62,-64,-29,-67,-57,-67,-29,-29,-29,-57,-56,-61,-50,-61,-61,-67,-43,-43,-35,-35,-43,-35,-55,-56,-55,-49,-66,-49,-66,-66,-67,-73,-49,-59,-45,-57,-72,-67,-64,-72,-69,-69,-70,-72,-76,-72,-77,-79,-83,-85,-78,-71,-73,-77,-80,-76,-78,-82,-81,,-78,,-81,,-81,-79,-79,,,,-75,-80,-78,-73,-78,-78,-67,-77,,-77,-78,-79,-81,,-85,-73,-67,,-67,-80,,-77,-78,-83,-83,-85,-81,-80,-81,-84,-79,-77,-83,-81,-75,-83,-80,-80,-80,-80,-77,-76,-72,-85,-74,-83,-81,-82,16,7,9,-80,-79,-79,,,,
9,-61,-61,-60,-62,-64,-29,-67,-57,-67,-29,-29,-29,-57,-56,-61,-50,-61,-61,-67,-43,-43,-35,-35,-43,-35,-55,-56,-55,-49,-66,-49,-66,-66,-67,-73,-49,-59,-45,-57,-72,-67,-64,-72,-69,-69,-70,-72,-76,-72,-77,-79,-83,-85,-78,-71,-73,-77,-80,-76,-78,-82,-81,,-78,,-81,,-81,-79,-79,,,,-75,-80,-78,-73,-78,-78,-67,-77,,-77,-78,-79,-81,,-85,-73,-67,,-67,-80,,-77,-78,-83,-83,-85,-81,-80,-81,-84,-79,-77,-83,-81,-75,-83,-80,-80,-80,-80,-77,-76,-72,-85,-74,-83,-81,-82,16,7,10,-80,-79,-79,,,,
