,18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:84:D3 (\x00),C2:FB:E4:0B:07:76 (),18:8B:9D:22:91:F2 (LU),18:8B:9D:2C:63:F1 (LU-WIFI),BE:FB:E4:0B:07:76 (),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:2C:63:F2 (LU),18:8B:9D:35:85:20 (eduroam),18:8B:9D:13:84:DD (LU),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:13:84:DF (eduroam),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:23 (\x00),18:8B:9D:35:85:22 (LU),80:E0:1D:F9:29:40 (eduroam),80:E0:1D:F9:29:42 (LU),80:E0:1D:F9:29:4F (eduroam),18:8B:9D:35:7D:F2 (LU),80:E0:1D:F9:29:4D (LU),80:E0:1D:F9:29:4E (LU-WIFI),18:8B:9D:13:84:DE (LU-WIFI),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),18:8B:9D:03:94:10 (eduroam),18:8B:9D:35:85:2F (eduroam),18:8B:9D:03:94:1F (eduroam),18:8B:9D:03:94:1D (LU),18:8B:9D:03:94:1E (LU-WIFI),18:8B:9D:35:7D:F1 (LU-WIFI),18:8B:9D:03:99:E0 (eduroam),18:8B:9D:2C:97:E2 (LU),18:8B:9D:35:BA:A2 (LU),18:8B:9D:03:99:E1 (LU-WIFI),18:8B:9D:35:BA:AD (LU),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:35:7D:FF (eduroam),18:8B:9D:35:7D:FD (LU),18:8B:9D:35:7D:FE (LU-WIFI),18:8B:9D:2C:97:E0 (eduroam),18:8B:9D:03:99:E2 (LU),86:25:19:2F:F3:99 (DIRECT-UKM2020 Series),18:8B:9D:03:99:EF (eduroam),18:8B:9D:03:99:ED (LU),18:8B:9D:03:99:EE (LU-WIFI),18:8B:9D:35:BA:AE (LU-WIFI),18:8B:9D:2C:97:E1 (LU-WIFI),D4:46:49:71:33:50 (ALHN-8DB7-5),18:8B:9D:35:BA:AF (eduroam),54:A6:19:9A:FB:A8 (ALHN-D5AB),18:45:93:4F:01:D9 (Arhitekts),F8:0C:58:1D:94:79 (ALHN-8DB7),18:8B:9D:03:99:E3 (\x00),18:8B:9D:03:99:EC (\x00),22:83:2E:94:6A:B5 (ADNT_Home),18:8B:9D:22:91:FF (eduroam),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:03:94:13 (\x00),18:8B:9D:22:92:03 (\x00),DC:2C:6E:F6:B2:6A (LMT-2GHz-B265),A4:B1:E9:A8:90:D9 (TNCAPA890D9),18:8B:9D:35:BA:12 (LU),18:8B:9D:13:85:D2 (LU),18:8B:9D:2C:97:EE (LU-WIFI),18:8B:9D:13:85:DD (LU),18:8B:9D:13:84:DC (\x00),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:35:7D:F3 (\x00),80:E0:1D:F9:29:43 (\x00),18:8B:9D:35:BA:13 (\x00),0A:55:31:E6:7E:47 (Arhitekts-Viesis),08:55:31:E6:7E:47 (Arhitekts),18:8B:9D:35:85:2C (\x00),18:8B:9D:2C:97:E3 (\x00),80:E0:1D:9C:20:82 (LU),18:8B:9D:22:91:F0 (eduroam),B4:FB:E4:0B:07:76 (DF SP),80:E0:1D:9C:20:83 (\x00),18:8B:9D:13:85:D1 (LU-WIFI),18:8B:9D:2C:97:EC (\x00),80:E0:1D:F9:29:4C (\x00),room_index,measurement_index,batch_index,18:8B:9D:13:99:12 (LU),18:8B:9D:13:99:11 (LU-WIFI),18:8B:9D:22:91:F1 (LU-WIFI),18:8B:9D:13:99:13 (\x00),18:8B:9D:13:99:10 (eduroam),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:35:7D:FC (\x00),18:8B:9D:2C:63:FF (eduroam),18:45:93:4F:01:DD (Arhitekts),DC:2C:6E:F6:B2:6B (LMT-5GHz-B265),18:8B:9D:22:91:FD (LU),18:8B:9D:03:94:1C (\x00),18:8B:9D:35:BA:AC (\x00)
0,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,-72.0,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,-72.0,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,1.0,,,,,,,,,,,,,
1,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,2.0,,,,,,,,,,,,,
2,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,3.0,,,,,,,,,,,,,
3,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,4.0,,,,,,,,,,,,,
4,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,5.0,,,,,,,,,,,,,
5,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,6.0,,,,,,,,,,,,,
6,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,7.0,,,,,,,,,,,,,
7,-63.0,-63.0,-63.0,-76.0,-63.0,-74.0,-85.0,-79.0,-75.0,-77.0,-85.0,-52.0,-72.0,-59.0,-72.0,-52.0,-52.0,-52.0,-61.0,-61.0,-70.0,-49.0,-69.0,-69.0,-73.0,-43.0,-43.0,-65.0,-65.0,-43.0,-66.0,-54.0,-54.0,-54.0,-50.0,-56.0,-74.0,-83.0,-51.0,,-50.0,-56.0,-56.0,-55.0,-75.0,-56.0,-82.0,-71.0,-72.0,-72.0,,-74.0,-83.0,-83.0,-77.0,-84.0,-84.0,-51.0,-76.0,-85.0,-84.0,-76.0,-43.0,-83.0,-81.0,-81.0,-77.0,-83.0,-85.0,-86.0,-72.0,-79.0,-53.0,-57.0,-78.0,-86.0,-86.0,-65.0,-75.0,-85.0,-84.0,-73.0,-86.0,-81.0,-84.0,-70.0,18.0,1.0,8.0,,,,,,,,,,,,,
8,-61.0,-62.0,-62.0,-76.0,-61.0,-81.0,-85.0,-76.0,-77.0,,-77.0,-43.0,-67.0,-58.0,-67.0,-42.0,-52.0,-42.0,-58.0,-58.0,-69.0,-52.0,-69.0,-69.0,-67.0,-38.0,-37.0,-53.0,-53.0,-38.0,-53.0,-35.0,-35.0,-35.0,-52.0,-66.0,-74.0,-83.0,-65.0,,-53.0,-60.0,-60.0,-59.0,-75.0,-65.0,-75.0,-75.0,-75.0,-74.0,,-74.0,-83.0,-83.0,-77.0,-69.0,-81.0,-51.0,-76.0,-85.0,-84.0,-74.0,-43.0,-83.0,-81.0,-84.0,,,,-86.0,-72.0,-76.0,-51.0,-57.0,-75.0,-86.0,-86.0,-65.0,-80.0,-85.0,-82.0,-73.0,-86.0,-81.0,-84.0,-69.0,18.0,1.0,9.0,-78.0,-76.0,-82.0,-78.0,-77.0,-77.0,-59.0,-87.0,-80.0,-86.0,-86.0,-35.0,-83.0
9,-56.0,-56.0,-56.0,-76.0,-61.0,-71.0,-85.0,-76.0,-77.0,,-77.0,-42.0,-67.0,-58.0,-67.0,-43.0,-52.0,-43.0,-58.0,-58.0,-69.0,-52.0,-69.0,-69.0,-67.0,-38.0,-37.0,-53.0,-53.0,-38.0,-53.0,-35.0,-35.0,-35.0,-52.0,-66.0,-74.0,-83.0,-65.0,,-53.0,-60.0,-60.0,-59.0,-79.0,-65.0,-75.0,-75.0,-75.0,-74.0,,-74.0,-83.0,-83.0,-80.0,-70.0,-81.0,-51.0,-76.0,-85.0,-84.0,-74.0,-43.0,-83.0,-81.0,-84.0,,,,,-72.0,-76.0,-51.0,-57.0,-75.0,-86.0,-86.0,-65.0,-80.0,-85.0,-82.0,-73.0,-86.0,-81.0,-84.0,-69.0,18.0,1.0,10.0,-78.0,-76.0,-82.0,-84.0,-77.0,-77.0,-59.0,-87.0,-80.0,-86.0,-86.0,-35.0,-83.0
