,18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:84:D3 (\x00),C2:FB:E4:0B:07:76 (),18:8B:9D:2C:63:F1 (LU-WIFI),BE:FB:E4:0B:07:76 (),18:8B:9D:2C:63:F2 (LU),18:8B:9D:35:85:20 (eduroam),18:8B:9D:13:84:DD (LU),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:13:84:DF (eduroam),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:23 (\x00),18:8B:9D:35:85:22 (LU),80:E0:1D:F9:29:40 (eduroam),80:E0:1D:F9:29:42 (LU),80:E0:1D:F9:29:4F (eduroam),18:8B:9D:35:7D:F2 (LU),80:E0:1D:F9:29:4D (LU),80:E0:1D:F9:29:4E (LU-WIFI),18:8B:9D:13:84:DE (LU-WIFI),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),18:8B:9D:03:94:10 (eduroam),18:8B:9D:35:85:2F (eduroam),18:8B:9D:03:94:1F (eduroam),18:8B:9D:03:94:1D (LU),18:8B:9D:03:94:1E (LU-WIFI),18:8B:9D:35:7D:F1 (LU-WIFI),18:8B:9D:03:99:E0 (eduroam),18:8B:9D:2C:97:E2 (LU),18:8B:9D:03:99:E1 (LU-WIFI),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:35:7D:FF (eduroam),18:8B:9D:35:7D:FD (LU),18:8B:9D:35:7D:FE (LU-WIFI),18:8B:9D:2C:97:E0 (eduroam),18:8B:9D:03:99:E2 (LU),18:8B:9D:03:99:EF (eduroam),18:8B:9D:03:99:ED (LU),18:8B:9D:03:99:EE (LU-WIFI),18:8B:9D:2C:97:E1 (LU-WIFI),54:A6:19:9A:FB:A8 (ALHN-D5AB),F8:0C:58:1D:94:79 (ALHN-8DB7),18:8B:9D:03:94:13 (\x00),18:8B:9D:2C:97:E3 (\x00),18:8B:9D:22:91:F0 (eduroam),18:8B:9D:22:91:F1 (LU-WIFI),18:8B:9D:03:94:1C (\x00),18:8B:9D:35:BA:AE (LU-WIFI),D4:46:49:71:33:50 (ALHN-8DB7-5),18:8B:9D:35:BA:A3 (\x00),18:8B:9D:35:BA:12 (LU),18:8B:9D:35:BA:11 (LU-WIFI),5C:1A:6F:EC:86:B1 (ALHN-A021),18:45:93:4F:01:D9 (Arhitekts),18:8B:9D:35:BA:A0 (eduroam),18:8B:9D:35:BA:A2 (LU),18:8B:9D:35:BA:A1 (LU-WIFI),22:83:2E:94:6A:B5 (ADNT_Home),18:8B:9D:03:99:EC (\x00),B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:2C:63:FC (\x00),18:8B:9D:22:91:FE (LU-WIFI),D4:CA:6D:EA:FB:05 (LNOB-K),18:8B:9D:22:91:F2 (LU),82:CC:31:A7:5E:BF (B535_5EA7),18:8B:9D:2C:63:F0 (eduroam),40:33:06:4C:DD:DF (ALHN-4215),42:33:06:4C:DD:DF (),A4:B1:E9:A8:90:D9 (TNCAPA890D9),DC:2C:6E:F6:B2:6B (LMT-5GHz-B265),DC:2C:6E:F6:B2:6A (LMT-2GHz-B265),0A:55:31:E6:7E:47 (Arhitekts-Viesis),18:8B:9D:03:99:E3 (\x00),18:8B:9D:35:7D:F3 (\x00),18:8B:9D:35:BA:13 (\x00),80:E0:1D:F9:29:4C (\x00),BC:25:E0:8B:F3:3C (SANTI-5G),18:45:93:4F:01:DD (Arhitekts),18:8B:9D:13:99:11 (LU-WIFI),18:8B:9D:13:99:13 (\x00),18:8B:9D:22:91:F3 (\x00),BC:25:E0:8B:F3:3A (SANTI),18:4A:6F:9B:FB:70 (ALHN-10CE),86:25:19:2F:F3:99 (DIRECT-UKM2020 Series),18:8B:9D:22:91:FF (eduroam),18:8B:9D:35:BA:AF (eduroam),40:33:06:4C:DD:E3 (ALHN-4215-5),room_index,measurement_index,batch_index,80:E0:1D:9C:20:82 (LU),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:85:2C (\x00),18:8B:9D:2C:63:F3 (\x00)
0,-71,-71,-70,-83,-70,-82,-80,-82,-79,-58,-70,-71,-71,-59,-59,-59,-70,-69,-83,-29,-83,-82,-70,-54,-55,-66,-65,-54,-66,-61,-61,-61,-30,-61,-79,-62,-30,-32,-31,-31,-79,-62,-71,-71,-71,-80,-70,-79,-47,-79,-85,-78,-54,-84,-69,-79,-78,-78,-86,-63,-78,-78,-76,-73,-76,-81,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-85,-60,-30,-83,-82,-85,-70,-84,-84,-86,-79,-81,-78,-87,-77,-85,18,15,1,,,,
1,-68,-66,-67,-83,-70,-84,-80,-82,-79,-50,-67,-71,-67,-50,-59,-50,-70,-69,-83,-25,-81,-81,-67,-46,-46,-63,-63,-46,-63,-54,-55,-54,-24,-61,-80,-61,-25,-33,-32,-32,-79,-62,-75,-74,-74,-79,-74,-70,-47,-79,-85,-78,-54,-84,-69,-79,-78,-78,-86,-63,-77,-77,-77,-79,-76,-82,-86,-80,-82,-87,-85,-81,-80,-80,-81,-83,-81,-85,-60,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,2,-84,-75,-63,
2,-68,-66,-67,-83,-70,-84,-80,-82,-79,-50,-67,-71,-67,-50,-59,-50,-70,-69,-83,-25,-81,-81,-67,-46,-46,-63,-63,-46,-63,-54,-55,-54,-24,-61,-80,-61,-25,-33,-32,-32,-79,-62,-75,-74,-74,-79,-74,-70,-47,-79,-85,-78,-54,-84,-69,-79,-78,-78,-86,-63,-77,-77,-77,-79,-76,-82,-86,-80,-82,-87,-85,-81,-80,-80,-81,-83,-81,-85,-60,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,3,-84,-75,-63,
3,-69,-70,-70,-83,-70,-84,-80,-84,-79,-59,-70,-70,-70,-58,-58,-59,-71,-69,-82,-30,-82,-81,-70,-54,-54,-65,-65,-55,-65,-59,-59,-59,-30,-64,-79,-64,-30,-33,-32,-31,-79,-64,-74,-73,-74,-79,-77,-79,-55,-79,-85,-78,-54,-84,-68,-79,-78,-78,-86,-63,-77,-77,-77,-82,-74,-83,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-87,-63,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,4,-84,-75,-63,-81
4,-69,-70,-70,-83,-70,-84,-80,-84,-79,-59,-70,-70,-70,-58,-58,-59,-71,-69,-82,-30,-82,-81,-70,-54,-54,-65,-65,-55,-65,-59,-59,-59,-30,-64,-79,-64,-30,-33,-32,-31,-79,-64,-74,-73,-74,-79,-77,-79,-55,-79,-85,-78,-54,-84,-68,-79,-78,-78,-86,-63,-77,-77,-77,-82,-74,-83,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-87,-63,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,5,-84,-75,-63,-81
5,-69,-70,-70,-83,-70,-84,-80,-84,-79,-59,-70,-70,-70,-58,-58,-59,-71,-69,-82,-30,-82,-81,-70,-54,-54,-65,-65,-55,-65,-59,-59,-59,-30,-64,-79,-64,-30,-33,-32,-31,-79,-64,-74,-73,-74,-79,-77,-79,-55,-79,-85,-78,-54,-84,-68,-79,-78,-78,-86,-63,-77,-77,-77,-82,-74,-83,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-87,-63,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,6,-84,-75,-63,-81
6,-69,-70,-70,-83,-70,-84,-80,-84,-79,-59,-70,-70,-70,-58,-58,-59,-71,-69,-82,-30,-82,-81,-70,-54,-54,-65,-65,-55,-65,-59,-59,-59,-30,-64,-79,-64,-30,-33,-32,-31,-79,-64,-74,-73,-74,-79,-77,-79,-55,-79,-85,-78,-54,-84,-68,-79,-78,-78,-86,-63,-77,-77,-77,-82,-74,-83,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-87,-63,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,7,-84,-75,-63,-81
7,-69,-70,-70,-83,-70,-84,-80,-84,-79,-59,-70,-70,-70,-58,-58,-59,-71,-69,-82,-30,-82,-81,-70,-54,-54,-65,-65,-55,-65,-59,-59,-59,-30,-64,-79,-64,-30,-33,-32,-31,-79,-64,-74,-73,-74,-79,-77,-79,-55,-79,-85,-78,-54,-84,-68,-79,-78,-78,-86,-63,-77,-77,-77,-82,-74,,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-87,-63,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,8,-84,-75,-63,-81
8,-69,-70,-70,-83,-70,-84,-80,-84,-79,-59,-70,-70,-70,-58,-58,-59,-71,-69,-82,-30,-82,-81,-70,-54,-54,-65,-65,-55,-65,-59,-59,-59,-30,-64,-79,-64,-30,-33,-32,-31,-79,-64,-74,-73,-74,-79,-77,-79,-55,-79,-85,-78,,-84,-68,-79,,,,-63,-77,-77,-77,-82,-74,,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-87,-63,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,9,-84,-75,-63,-81
9,-69,-70,-70,-83,-70,-84,-80,-84,-79,-59,-70,-70,-70,-58,-58,-59,-71,-69,-82,-30,-82,-81,-70,-54,-54,-65,-65,-55,-65,-59,-59,-59,-30,-64,-79,-64,-30,-33,-32,-31,-79,-64,-74,-73,-74,-79,-77,-79,-55,-79,-85,-78,,-84,-68,-79,,,,-63,-77,-77,-77,-82,-74,,-86,-80,-82,-87,-85,-81,-80,-80,-81,-84,-81,-87,-63,-30,-83,-82,-85,-70,-84,-82,-86,-79,-81,-81,-86,-75,-85,18,15,10,-84,-75,-63,-81
