,18:8B:9D:13:84:D1 (LU-WIFI),C2:FB:E4:0B:07:76 (),18:8B:9D:13:84:D0 (eduroam),B4:FB:E4:0B:07:76 (DF SP),B4:FB:E4:0B:07:77 (DF SP),B4:FB:E4:0B:07:75 (DF SP),18:8B:9D:13:85:DD (LU),18:8B:9D:13:85:DF (eduroam),18:8B:9D:13:AC:31 (LU-WIFI),18:8B:9D:13:85:DE (LU-WIFI),18:8B:9D:03:6F:21 (LU-WIFI),18:8B:9D:03:6F:22 (LU),18:8B:9D:13:85:D2 (LU),18:8B:9D:13:85:D1 (LU-WIFI),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:13:85:D0 (eduroam),18:8B:9D:03:6F:23 (\x00),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:13:AC:33 (\x00),18:8B:9D:13:AC:30 (eduroam),BE:FB:E4:0B:07:76 (),18:8B:9D:22:91:F2 (LU),18:8B:9D:13:AC:32 (LU),18:8B:9D:03:6F:20 (eduroam),18:8B:9D:13:AC:3E (LU-WIFI),18:8B:9D:03:65:AE (LU-WIFI),50:06:04:2B:52:C5 (Devices),80:E0:1D:F9:29:42 (LU),18:8B:9D:13:84:D3 (\x00),18:8B:9D:13:84:D2 (LU),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:20 (eduroam),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:03:94:12 (LU),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:84:DE (LU-WIFI),80:E0:1D:F9:29:40 (eduroam),18:8B:9D:35:85:22 (LU),80:E0:1D:9C:20:81 (LU-WIFI),50:06:04:2B:52:CD (eduroam),50:06:04:2B:52:CA (Devices),80:E0:1D:9C:20:80 (eduroam),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),80:E0:1D:F9:29:4F (eduroam),50:06:04:2B:52:CB (LU),80:E0:1D:F9:29:4D (LU),80:E0:1D:F9:29:4E (LU-WIFI),50:06:04:2B:52:CC (LU-WIFI),18:8B:9D:13:84:DF (eduroam),18:8B:9D:13:84:DD (LU),18:8B:9D:03:94:1E (LU-WIFI),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:35:7D:F2 (LU),18:8B:9D:35:7D:F1 (LU-WIFI),80:E0:1D:9C:20:82 (LU),18:8B:9D:35:85:23 (\x00),18:8B:9D:03:65:A2 (LU),18:8B:9D:13:B9:41 (LU-WIFI),18:8B:9D:22:91:FD (LU),18:8B:9D:35:BA:12 (LU),18:8B:9D:03:65:AD (LU),18:8B:9D:13:AC:3D (LU),18:8B:9D:13:AC:3F (eduroam),18:8B:9D:03:65:AF (eduroam),18:8B:9D:03:94:1F (eduroam),18:8B:9D:03:94:1D (LU),18:8B:9D:22:91:F3 (\x00),18:8B:9D:22:91:F0 (eduroam),18:8B:9D:03:65:A0 (eduroam),18:8B:9D:22:91:F1 (LU-WIFI),18:8B:9D:13:AB:BE (LU-WIFI),18:8B:9D:03:6F:2E (LU-WIFI),50:06:04:2B:52:C8 (\x00),18:8B:9D:03:94:13 (\x00),18:8B:9D:03:6F:2D (LU),18:8B:9D:03:94:10 (eduroam),18:8B:9D:22:91:FC (\x00),18:8B:9D:13:AB:BF (eduroam),D4:CA:6D:2D:CF:23 (MikroTik-2DCF23),18:8B:9D:13:85:DC (\x00),18:8B:9D:22:91:FE (LU-WIFI),50:06:04:2B:52:C4 (LU),18:8B:9D:22:92:01 (LU-WIFI),18:8B:9D:13:AB:B2 (LU),18:8B:9D:22:92:00 (eduroam),18:8B:9D:13:B9:40 (eduroam),18:8B:9D:22:8E:23 (\x00),18:8B:9D:22:92:0E (LU-WIFI),18:8B:9D:03:65:AC (\x00),18:8B:9D:22:92:02 (LU),62:45:B0:B6:AA:2F (),18:8B:9D:22:92:0F (eduroam),18:8B:9D:22:92:0D (LU),70:6B:B9:98:86:4F (eduroam),70:6B:B9:98:86:4E (LU-WIFI),70:6B:B9:98:86:4D (LU),18:8B:9D:22:91:FF (eduroam),80:E0:1D:9C:4A:A3 (\x00),00:1C:10:0B:71:AF (CUEnet),86:25:19:2F:F3:99 (DIRECT-UKM2020 Series),18:8B:9D:35:BA:A3 (\x00),18:8B:9D:13:AB:BC (\x00),18:8B:9D:13:AB:B3 (\x00),2C:31:24:C7:37:C0 (eduroam),2C:31:24:C7:37:C1 (LU-WIFI),2C:31:24:C7:37:C2 (LU),2C:31:24:C7:37:CF (eduroam),2C:31:24:C7:37:CE (LU-WIFI),2C:31:24:C7:37:CD (LU),18:8B:9D:13:84:DC (\x00),80:E0:1D:9C:4A:AC (\x00),80:E0:1D:9C:4A:A2 (LU),80:E0:1D:9C:20:83 (\x00),50:06:04:2B:52:C3 (LU-WIFI),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:03:9A:0D (LU),18:8B:9D:35:85:2C (\x00),18:8B:9D:03:6F:2F (eduroam),18:8B:9D:22:92:0C (\x00),80:E0:1D:9C:4A:AE (LU-WIFI),room_index,measurement_index,batch_index
0,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,1
1,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,2
2,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,3
3,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,4
4,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,5
5,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,6
6,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,7
7,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,8
8,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,9
9,-73,-58,-72,-57,-57,-62,-37,-36,-63,-37,-73,-64,-32,-32,-64,-32,-65,-66,-57,-62,-58,-61,-63,-65,-68,-67,-53,-66,-72,-72,-61,-61,-62,-62,-70,-69,-66,-61,-77,-79,-79,-74,-78,-79,-76,-57,-77,-77,-80,-80,-67,-83,-80,-80,-80,-79,-60,-65,-78,-71,-82,-67,-67,-67,-66,-83,-83,-62,-61,-65,-61,-81,-84,-57,-62,-83,-62,-73,-79,-67,-36,-70,-56,-63,-75,-63,-79,-83,-65,-67,-64,-83,-64,-64,-76,-76,-76,-69,-80,-87,-82,-83,-76,-75,-77,-75,-75,-85,-85,-84,-78,-81,-82,-79,-70,-83,-83,-79,-83,-64,-84,3,7,10
