,B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:85:DF (eduroam),18:8B:9D:13:85:DD (LU),18:8B:9D:13:85:DE (LU-WIFI),18:8B:9D:13:84:D3 (\x00),9A:62:AB:67:28:4B (PhPhPhone),18:8B:9D:13:AC:31 (LU-WIFI),C2:FB:E4:0B:07:76 (),18:8B:9D:13:AC:30 (eduroam),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:03:65:A2 (LU),18:8B:9D:13:AC:32 (LU),18:8B:9D:22:91:F1 (LU-WIFI),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:03:6F:21 (LU-WIFI),B4:FB:E4:0B:07:75 (DF SP),18:8B:9D:03:6F:20 (eduroam),18:8B:9D:03:65:A0 (eduroam),18:8B:9D:13:85:D1 (LU-WIFI),18:8B:9D:13:85:D2 (LU),18:8B:9D:22:91:F2 (LU),18:8B:9D:22:91:F0 (eduroam),18:8B:9D:13:85:D0 (eduroam),18:8B:9D:22:92:00 (eduroam),18:8B:9D:22:92:01 (LU-WIFI),50:06:04:2B:52:C5 (Devices),50:06:04:2B:52:CA (Devices),BE:FB:E4:0B:07:76 (),18:8B:9D:13:AC:33 (\x00),80:E0:1D:F9:29:40 (eduroam),80:E0:1D:F9:29:42 (LU),80:E0:1D:F9:29:41 (LU-WIFI),FE:76:61:9D:B9:F7 (Alpha),18:8B:9D:13:84:DF (eduroam),18:8B:9D:35:85:20 (eduroam),18:8B:9D:22:91:F3 (\x00),18:8B:9D:03:65:A3 (\x00),18:8B:9D:03:65:AF (eduroam),18:8B:9D:35:BA:12 (LU),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:22:92:0F (eduroam),18:8B:9D:35:BA:1C (\x00),50:06:04:2B:52:CB (LU),50:06:04:2B:52:CD (eduroam),18:8B:9D:22:91:FF (eduroam),80:E0:1D:9C:4A:A2 (LU),18:8B:9D:35:85:22 (LU),18:8B:9D:35:85:21 (LU-WIFI),80:E0:1D:9C:4A:A3 (\x00),80:E0:1D:9C:4A:A0 (eduroam),18:8B:9D:03:94:10 (eduroam),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:BA:1E (LU-WIFI),50:06:04:2B:52:CC (LU-WIFI),50:06:04:2B:52:C8 (\x00),18:8B:9D:13:85:DC (\x00),18:8B:9D:13:84:DD (LU),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:22:92:02 (LU),18:8B:9D:13:85:D3 (\x00),50:06:04:2B:52:C7 (\x00),80:E0:1D:F9:29:43 (\x00),18:8B:9D:03:65:AE (LU-WIFI),18:8B:9D:03:6F:22 (LU),18:8B:9D:03:6F:23 (\x00),18:8B:9D:35:85:23 (\x00),18:8B:9D:2C:63:F2 (LU),50:06:04:2B:52:C2 (eduroam),62:45:B0:B6:AA:2F (),18:8B:9D:03:65:AD (LU),room_index,measurement_index,batch_index,18:8B:9D:22:91:FE (LU-WIFI),80:E0:1D:9C:4A:A1 (LU-WIFI),18:8B:9D:22:91:FD (LU),D4:CA:6D:2D:CF:23 (MikroTik-2DCF23),50:06:04:2B:52:C4 (LU),18:8B:9D:35:BA:1D (LU),18:8B:9D:22:92:0C (\x00),18:8B:9D:13:AC:3E (LU-WIFI),18:8B:9D:13:84:DE (LU-WIFI),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:03:94:12 (LU)
0,-22,-70,-70,-69,-59,-74,-74,-74,-69,-44,-80,-22,-81,-72,-74,-81,-80,-29,-79,-30,-79,-71,-67,-68,-81,-81,-67,-75,-79,-68,-76,-21,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-72,-72,-83,-84,-81,-80,-82,-84,-83,-77,-88,-72,-75,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,1,,,,,,,,,,,
1,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,2,-87,,,,,,,,,,
2,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,3,-87,,,,,,,,,,
3,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,4,-87,,,,,,,,,,
4,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,5,-87,,,,,,,,,,
5,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,6,-87,,,,,,,,,,
6,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,7,-87,,,,,,,,,,
7,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,8,-87,,,,,,,,,,
8,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,9,-87,,,,,,,,,,
9,-28,-75,-75,-75,-69,-68,-68,-68,-75,-43,-80,-28,-81,-75,-76,-81,-80,-29,-79,-26,-79,-77,-68,-68,-81,-81,-67,-75,-79,-65,-73,-27,-81,-75,-77,-79,-79,-83,-80,-80,-76,-78,-79,-79,-86,-87,-73,-73,-83,-84,-81,-80,-82,-84,-83,-77,-88,-73,-74,-72,-81,-80,-80,-76,-68,-78,-79,-80,-79,-85,-79,-66,-58,-84,301,2,10,-87,,,,,,,,,,
