,C2:FB:E4:0B:07:76 (),B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:84:D0 (eduroam),00:25:9C:92:47:95 (DFLAB_GUEST),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:13:84:D1 (LU-WIFI),18:8B:9D:13:85:D1 (LU-WIFI),B4:FB:E4:0B:07:75 (DF SP),18:8B:9D:13:84:D2 (LU),50:06:04:2B:52:CA (Devices),50:06:04:2B:52:C5 (Devices),18:8B:9D:13:84:D3 (\x00),18:8B:9D:35:85:21 (LU-WIFI),80:E0:1D:F9:29:42 (LU),18:8B:9D:35:85:20 (eduroam),18:8B:9D:35:85:22 (LU),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:13:84:DD (LU),50:06:04:2B:52:CC (LU-WIFI),50:06:04:2B:52:CB (LU),50:06:04:2B:52:CD (eduroam),18:8B:9D:03:94:11 (LU-WIFI),80:E0:1D:F9:29:41 (LU-WIFI),80:E0:1D:F9:29:40 (eduroam),18:8B:9D:35:BA:1F (eduroam),80:E0:1D:F9:29:4F (eduroam),80:E0:1D:F9:29:4D (LU),80:E0:1D:F9:29:4E (LU-WIFI),18:8B:9D:13:84:DF (eduroam),18:8B:9D:13:84:DE (LU-WIFI),18:8B:9D:13:B9:42 (LU),18:8B:9D:13:B9:43 (\x00),18:8B:9D:35:BA:12 (LU),18:8B:9D:35:BA:10 (eduroam),A2:A3:03:37:42:64 (Galaxy S22AA35),18:8B:9D:35:BA:1D (LU),18:8B:9D:13:B9:40 (eduroam),18:8B:9D:13:B9:41 (LU-WIFI),18:8B:9D:35:BA:1E (LU-WIFI),50:C7:BF:17:13:93 (DiLabB),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:13:85:D2 (LU),18:8B:9D:03:9A:1E (LU-WIFI),18:8B:9D:13:99:12 (LU),C4:93:00:10:EA:75 (Aranet-DiLab1),18:8B:9D:13:99:10 (eduroam),18:8B:9D:13:99:11 (LU-WIFI),50:C7:BF:17:13:92 (DiLab),18:8B:9D:13:B9:4E (LU-WIFI),18:8B:9D:35:85:23 (\x00),62:45:B0:B6:AA:2F (),18:8B:9D:13:99:13 (\x00),BE:FB:E4:0B:07:76 (),18:8B:9D:13:B9:4F (eduroam),18:8B:9D:03:94:13 (\x00),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:35:BA:A2 (LU),18:8B:9D:35:BA:A1 (LU-WIFI),18:8B:9D:2C:63:F2 (LU),18:8B:9D:2C:63:FE (LU-WIFI),18:8B:9D:35:7D:F1 (LU-WIFI),80:E0:1D:9C:45:B1 (LU-WIFI),50:06:04:2B:52:C4 (LU),18:8B:9D:22:8E:21 (LU-WIFI),18:8B:9D:13:B9:4C (\x00),50:06:04:2B:52:C2 (eduroam),18:8B:9D:35:7D:F2 (LU),80:E0:1D:F9:29:43 (\x00),18:8B:9D:22:8E:2E (LU-WIFI),18:8B:9D:2C:63:FD (LU),18:8B:9D:03:9A:1C (\x00),50:06:04:2B:52:C7 (\x00),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),18:8B:9D:35:7D:F3 (\x00),80:E0:1D:9C:45:BE (LU-WIFI),80:E0:1D:9C:4A:A3 (\x00),18:8B:9D:03:94:12 (LU),18:8B:9D:2C:63:FC (\x00),18:8B:9D:03:9A:12 (LU),80:E0:1D:9C:20:80 (eduroam),18:8B:9D:03:9A:10 (eduroam),18:8B:9D:03:9A:11 (LU-WIFI),18:8B:9D:22:8E:20 (eduroam),18:8B:9D:03:94:10 (eduroam),18:8B:9D:22:8E:2F (eduroam),18:8B:9D:03:9A:1D (LU),18:8B:9D:13:85:DF (eduroam),18:8B:9D:35:BA:AD (LU),room_index,measurement_index,batch_index,50:06:04:2B:52:C3 (LU-WIFI),18:8B:9D:35:BA:1C (\x00),50:06:04:2B:52:C8 (\x00),BE:FB:E4:0B:07:75 (),C2:FB:E4:0B:07:75 ()
0,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,1,,,,,
1,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,2,,,,,
2,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,3,,,,,
3,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,4,,,,,
4,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,5,,,,,
5,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,6,,,,,
6,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,7,,,,,
7,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,8,,,,,
8,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,9,,,,,
9,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,10,,,,,
10,-50,-50,-55,-32,-63,-55,-80,-60,-55,-70,-70,-51,-70,-66,-70,-69,-68,-69,-50,-71,-71,-71,-75,-66,-64,-72,-84,-81,-80,-51,-51,-67,-70,-69,-70,-70,-72,-65,-75,-72,-77,-70,-80,-83,-80,-77,-78,-78,-80,-81,-74,-85,-80,-51,-84,-73,-73,-76,-83,-70,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-77,-82,-76,-83,-76,-77,-77,-76,-86,-79,-84,-85,303,1,11,,,,,
11,-51,-50,-51,-23,-57,-51,-80,-64,-51,-72,-57,-52,-71,-56,-70,-70,-68,-66,-54,-73,-73,-73,-74,-56,-57,-71,-77,-76,-77,-54,-54,-65,,-67,-67,-64,-71,-64,-65,-72,-77,-67,-80,-86,-77,-77,-78,-78,-83,-81,-71,-85,-80,-51,-84,-73,-73,-76,-83,-68,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-74,-82,-75,-84,-75,-75,-77,-74,-86,-79,-84,-85,303,1,12,-56,-72,,,
12,-51,-50,-51,-23,-57,-51,-80,-64,-51,-72,-57,-52,-71,-56,-70,-70,-68,-66,-54,-73,-73,-73,-74,-56,-57,-71,-77,-76,-77,-54,-54,-65,,-67,-67,-64,-71,-64,-65,-72,-77,-67,-80,-86,-77,-77,-78,-78,-83,-81,-71,-85,-80,-51,-84,-73,-73,-76,-83,-68,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-74,-82,-75,-84,-75,-75,-77,-74,-86,-79,-84,-85,303,1,13,-56,-72,,,
13,-51,-50,-51,-23,-57,-51,-80,-64,-51,-72,-57,-52,-71,-56,-70,-70,-68,-66,-54,-73,-73,-73,-74,-56,-57,-71,-77,-76,-77,-54,-54,-65,,-67,-67,-64,-71,-64,-65,-72,-77,-67,-80,-86,-77,-77,-78,-78,-83,-81,-71,-85,-80,-51,-84,-73,-73,-76,-83,-68,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-74,-82,-75,-84,-75,-75,-77,-74,-86,-79,-84,-85,303,1,14,-56,-72,,,
14,-51,-50,-51,-23,-58,-51,-80,-64,-51,-72,-57,-52,-71,-56,-70,-70,-68,-66,-54,-73,-73,-73,-74,-56,-57,-71,-77,-76,-77,-54,-54,-65,,-67,-67,-64,-71,-64,-65,-72,-77,-67,-80,-86,-77,-77,-78,-78,-83,-81,-71,-85,-80,-51,-84,-73,-73,-76,-83,-68,-78,-79,-78,-60,-83,-82,-64,-79,-67,-87,-83,-81,-65,-78,-81,-82,-77,-89,-84,-74,-82,-75,-84,-75,-75,-77,-74,-86,-79,-84,-85,303,1,15,-56,-72,,,
