,B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:84:D3 (\x00),C2:FB:E4:0B:07:76 (),BE:FB:E4:0B:07:76 (),18:8B:9D:35:85:22 (LU),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:20 (eduroam),18:8B:9D:03:94:10 (eduroam),18:8B:9D:13:84:DE (LU-WIFI),54:A6:19:9A:FB:A8 (ALHN-D5AB),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:BA:1D (LU),18:8B:9D:13:84:DF (eduroam),18:8B:9D:13:84:DD (LU),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:35:BA:1F (eduroam),18:8B:9D:35:BA:1E (LU-WIFI),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:35:BA:AD (LU),18:8B:9D:2C:63:FF (eduroam),18:8B:9D:2C:63:FD (LU),18:8B:9D:2C:63:FE (LU-WIFI),18:8B:9D:35:BA:AF (eduroam),C4:93:00:10:EA:75 (Aranet-DiLab1),18:8B:9D:13:99:12 (LU),18:8B:9D:13:99:10 (eduroam),18:8B:9D:35:BA:AE (LU-WIFI),18:8B:9D:13:99:11 (LU-WIFI),18:8B:9D:35:BA:A0 (eduroam),18:8B:9D:35:BA:A1 (LU-WIFI),50:C7:BF:17:13:93 (DiLabB),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:BA:A2 (LU),18:8B:9D:35:85:23 (\x00),18:8B:9D:03:9A:11 (LU-WIFI),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:03:94:13 (\x00),18:8B:9D:35:BA:A3 (\x00),80:E0:1D:F9:29:40 (eduroam),18:8B:9D:35:BA:1C (\x00),80:E0:1D:F9:29:42 (LU),18:8B:9D:13:B9:42 (LU),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:03:94:1E (LU-WIFI),18:8B:9D:13:B9:22 (LU),9A:62:AB:67:28:4B (PhPhPhone),B4:FB:E4:0B:07:75 (DF SP),18:8B:9D:13:B9:41 (LU-WIFI),18:8B:9D:35:7D:F1 (LU-WIFI),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),18:8B:9D:35:7D:FE (LU-WIFI),50:06:04:2B:52:CD (eduroam),50:06:04:2B:52:CA (Devices),80:E0:1D:F9:29:4E (LU-WIFI),50:06:04:2B:52:C5 (Devices),18:8B:9D:35:85:2C (\x00),80:E0:1D:9C:4A:A1 (LU-WIFI),80:E0:1D:9C:4A:A3 (\x00),80:E0:1D:9C:4A:A0 (eduroam),18:8B:9D:03:9A:12 (LU),18:8B:9D:03:97:40 (eduroam),50:06:04:2B:52:C3 (LU-WIFI),18:8B:9D:35:BA:12 (LU),18:8B:9D:03:99:E1 (LU-WIFI),70:6B:B9:98:9C:C0 (eduroam),80:E0:1D:9C:45:B0 (eduroam),18:8B:9D:03:99:E2 (LU),18:8B:9D:35:7D:FC (\x00),18:8B:9D:35:7D:FF (eduroam),18:8B:9D:35:7D:FD (LU),80:E0:1D:F9:29:4C (\x00),18:8B:9D:13:B9:4E (LU-WIFI),18:8B:9D:03:9A:1E (LU-WIFI),18:8B:9D:03:94:1D (LU),18:8B:9D:03:94:1F (eduroam),room_index,measurement_index,batch_index,18:8B:9D:2C:63:F2 (LU),18:8B:9D:13:B9:43 (\x00),22:83:2E:94:6A:B5 (ADNT_Home),18:8B:9D:35:7D:F2 (LU),18:8B:9D:13:85:D1 (LU-WIFI),50:06:04:2B:52:C2 (eduroam),18:8B:9D:13:85:DD (LU),18:8B:9D:13:84:DC (\x00),18:8B:9D:03:9A:03 (\x00),18:8B:9D:13:B7:D1 (LU-WIFI),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:03:9A:13 (\x00),18:8B:9D:03:99:E0 (eduroam),80:E0:1D:F9:29:43 (\x00),80:E0:1D:F9:29:4F (eduroam),80:E0:1D:F9:29:4D (LU),18:8B:9D:2C:63:FC (\x00),18:8B:9D:03:9A:1F (eduroam),80:E0:1D:9C:4A:AC (\x00),18:8B:9D:35:BA:AC (\x00),18:8B:9D:03:94:1C (\x00),80:E0:1D:9C:4A:A2 (LU),18:8B:9D:03:9A:1D (LU)
0,-58,-30,-31,-31,-64,-38,-59,-59,-68,-67,-67,-65,-26,-88,-76,-66,-68,-25,-25,-60,-43,-68,-68,-66,-75,-66,-66,-66,-73,-79,-81,-83,-84,-81,-70,-68,-67,-59,-76,-70,-68,-67,-65,-60,-67,-64,-68,-77,-73,-80,-84,-81,-75,-76,-77,-71,-81,-81,-81,-80,-81,-86,-77,-83,-82,-81,-82,-67,-84,-77,-58,-79,-85,-82,-79,-82,-81,-81,-86,-86,-77,-81,-80,304,2,1,,,,,,,,,,,,,,,,,,,,,,,
1,-58,-30,-31,-31,-64,-38,-59,-59,-68,-67,-67,-65,-26,-88,-76,-66,-68,-25,-25,-60,-43,-68,-68,-66,-75,-66,-66,-66,-73,-79,-81,-83,-84,-81,-70,-68,-67,-59,-76,-70,-68,-67,-65,-60,-67,-64,-68,-77,-73,-80,-84,-81,-75,-76,-77,-71,-81,-81,-81,-80,-81,-86,-77,-83,-82,-81,-82,-67,-84,-77,-58,-79,-85,-82,-79,-82,-81,-81,-86,-86,-77,-81,-80,304,2,2,,,,,,,,,,,,,,,,,,,,,,,
2,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,3,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
3,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,4,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
4,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,5,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
5,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,6,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
6,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,7,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
7,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,8,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
8,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,9,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
9,-58,-32,-32,-31,-62,-38,-60,-59,-65,-65,-65,-61,-29,-88,-76,-66,-69,-28,-28,-61,-62,-70,-69,-63,-75,-71,-70,-71,-73,-84,-81,-83,-84,-81,-70,-75,-80,-63,-76,-65,-68,-66,-65,-60,-65,-64,-66,-77,-69,-84,-84,-85,-75,-76,-69,-74,-82,-82,-81,-80,-81,-86,-75,-83,-82,-81,-82,-67,-84,-77,-60,-79,-85,-82,-79,-84,-81,-81,-86,-86,-77,-83,-83,304,2,10,-62,-78,-82,-69,-84,-76,-88,-28,,,,,,,,,,,,,,,
