,B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:84:D3 (\x00),C2:FB:E4:0B:07:76 (),BE:FB:E4:0B:07:76 (),18:8B:9D:35:85:22 (LU),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:20 (eduroam),18:8B:9D:03:94:10 (eduroam),18:8B:9D:13:84:DE (LU-WIFI),54:A6:19:9A:FB:A8 (ALHN-D5AB),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:BA:1D (LU),18:8B:9D:13:84:DF (eduroam),18:8B:9D:13:84:DD (LU),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:35:BA:1F (eduroam),18:8B:9D:35:BA:1E (LU-WIFI),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:35:BA:AD (LU),18:8B:9D:2C:63:F2 (LU),18:8B:9D:2C:63:FF (eduroam),18:8B:9D:2C:63:FD (LU),18:8B:9D:2C:63:FE (LU-WIFI),18:8B:9D:35:BA:AF (eduroam),C4:93:00:10:EA:75 (Aranet-DiLab1),18:8B:9D:13:99:12 (LU),18:8B:9D:13:99:10 (eduroam),18:8B:9D:35:BA:AE (LU-WIFI),18:8B:9D:13:99:11 (LU-WIFI),18:8B:9D:35:BA:A0 (eduroam),18:8B:9D:35:BA:A1 (LU-WIFI),50:C7:BF:17:13:93 (DiLabB),22:83:2E:94:6A:B5 (ADNT_Home),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:BA:A2 (LU),18:8B:9D:35:85:23 (\x00),18:8B:9D:13:99:13 (\x00),18:8B:9D:35:BA:12 (LU),74:A2:E6:F5:02:A1 (LU-WIFI),18:8B:9D:03:9A:11 (LU-WIFI),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:35:BA:A3 (\x00),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:13:99:1C (\x00),74:A2:E6:F5:02:A2 (LU),DC:2C:6E:F6:B2:6A (LMT-2GHz-B265),18:8B:9D:35:85:2E (LU-WIFI),82:CC:31:A7:5E:BF (B535_5EA7),18:8B:9D:03:9A:10 (eduroam),18:8B:9D:03:9A:12 (LU),74:A2:E6:F5:02:A3 (\x00),18:8B:9D:35:85:2F (eduroam),18:8B:9D:35:85:2D (LU),B4:FB:E4:0B:07:75 (DF SP),BE:FB:E4:0B:07:75 (),DC:2C:6E:F6:B2:6B (LMT-5GHz-B265),80:E0:1D:9C:4A:A3 (\x00),80:E0:1D:9C:4A:A0 (eduroam),9A:62:AB:67:28:4B (PhPhPhone),18:8B:9D:2C:63:FC (\x00),18:8B:9D:35:BA:AC (\x00),C2:FB:E4:0B:07:75 (),40:33:06:4C:DD:DF (ALHN-4215),18:8B:9D:35:7D:F2 (LU),18:8B:9D:13:99:1E (LU-WIFI),06:1E:04:9A:40:10 (AndroidAP),18:8B:9D:13:B9:43 (\x00),18:8B:9D:13:B9:41 (LU-WIFI),18:8B:9D:13:B9:40 (eduroam),BC:25:E0:8B:F3:3A (SANTI),18:8B:9D:35:7D:F0 (eduroam),80:E0:1D:F9:29:40 (eduroam),22:83:2E:94:6A:B9 (ADNT_Home),22:83:2E:94:6A:BD (ADNT_Home_5G),18:8B:9D:13:99:1F (eduroam),18:8B:9D:35:BA:1C (\x00),room_index,measurement_index,batch_index,18:8B:9D:03:94:13 (\x00),18:8B:9D:35:7D:F1 (LU-WIFI),42:33:06:4C:DD:DF (),18:8B:9D:35:BA:13 (\x00),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:03:9A:1D (LU),18:8B:9D:13:B9:21 (LU-WIFI),80:E0:1D:F9:29:42 (LU),18:8B:9D:03:7A:50 (eduroam),18:8B:9D:03:9A:1F (eduroam),18:8B:9D:35:7D:F3 (\x00)
0,-67,-61,-61,-61,-75,-61,-74,-87,-78,-75,-75,-77,-66,-79,-77,-77,-76,-66,-65,-63,-27,-76,-76,-27,-55,-27,-35,-35,-35,-55,-85,-68,-71,-56,-69,-50,-48,-78,-75,-64,-48,-81,-69,-72,-79,-80,-50,-54,-86,-86,-79,-87,-83,-85,-84,-85,-73,-82,-82,-82,-82,-80,-82,-83,-81,-45,-56,-81,-83,-79,-85,-87,-87,-85,-87,-81,-80,-81,-84,-84,-81,-76,305,2,1,,,,,,,,,,,
1,-66,-65,-66,-65,-71,-61,-74,-87,-78,-73,-73,-71,-64,-79,-72,-71,-74,-64,-64,-63,-34,-74,-74,-34,-57,-33,-39,-39,-39,-57,-85,-74,-74,-57,-74,-46,-45,-78,-73,-64,-45,-81,-69,-72,-79,-84,-50,-46,-86,-86,-79,-87,-83,,-84,-85,-73,-82,-82,-82,-82,-80,-82,-83,-81,-45,-56,-81,-84,-79,-85,-87,-87,-85,-87,-81,-80,-81,-84,-84,-81,-76,305,2,2,-71,-84,-85,-65,-80,-88,,,,,
2,-66,-65,-66,-65,-71,-61,-74,-87,-78,-73,-73,-71,-64,-79,-72,-71,-74,-64,-64,-63,-34,-74,-74,-34,-57,-33,-39,-39,-39,-57,-85,-74,-74,-57,-74,-46,-45,-78,-73,-64,-45,-81,-69,-72,-79,-84,-50,-46,-86,-86,-79,-87,-83,,-84,-85,-73,-82,-82,-82,-82,-80,-82,-83,-81,-45,-56,-81,-84,-79,-85,-87,-87,-85,-87,-81,-80,-81,-84,-84,-81,-76,305,2,3,-71,-84,-85,-65,-80,-88,,,,,
3,-66,-65,-66,-65,-71,-61,-74,-87,-78,-73,-73,-71,-64,-79,-72,-71,-74,-64,-64,-63,-34,-74,-74,-34,-57,-33,-39,-39,-39,-57,-85,-74,-74,-57,-74,-46,-45,-78,-73,-64,-45,-81,-69,-72,-79,-84,-50,-46,-86,-86,-79,-87,-83,,-84,-85,-73,-82,-82,-82,-82,-80,-82,-83,-81,-45,-56,-81,-84,-79,-85,-87,-87,-85,-87,-81,-80,-81,-84,-84,-81,-76,305,2,4,-71,-84,-85,-65,-80,-88,,,,,
4,-66,-65,-66,-65,-71,-61,-74,-87,-78,-73,-73,-71,-64,-79,-72,-71,-74,-64,-64,-63,-34,-74,-74,-34,-57,-33,-39,-39,-39,-57,-85,-74,-74,-57,-74,-46,-45,-78,-73,-64,-45,-81,-69,-72,-79,-84,-50,-46,-86,-86,-79,-87,-83,,-84,-85,-73,-82,-82,-82,-82,-80,-82,-83,-81,-45,-56,-81,-84,-79,-85,-87,-87,-85,-87,-81,-80,-81,-84,-84,-81,-76,305,2,5,-71,-84,-85,-65,-80,-88,,,,,
5,-66,-65,-66,-65,-71,-61,-74,-87,-78,-73,-73,-71,-64,-79,-72,-71,-74,-64,-64,-63,-34,-74,-74,-34,-57,-33,-39,-39,-39,-57,-85,-74,-74,-57,-74,-46,-45,-78,-73,-64,-45,-81,-69,-72,-79,-84,-50,-46,-86,-86,-79,-87,-83,,-84,-85,-73,-82,-82,-82,-82,-80,-82,-83,-81,-45,-56,-81,-84,-79,-85,-87,-87,-85,-87,-81,-80,-81,-84,-84,-81,-76,305,2,6,-71,-84,-85,-65,-80,-88,,,,,
6,-66,-65,-66,-65,-71,-61,-74,-87,-78,-73,-73,-71,-64,-79,-72,-71,-74,-64,-64,-63,-34,-74,-74,-34,-57,-33,-39,-39,-39,-57,-85,-74,-74,-57,-74,-46,-45,-78,-73,-64,-45,-81,-69,-72,-79,-84,-50,-46,-86,-86,-79,-87,-83,,-84,-85,-73,-82,-82,-82,-82,-80,-82,-83,-81,-45,-56,-81,-84,-79,-85,-87,-87,-85,-87,-81,-80,-81,-84,-84,-81,-76,305,2,7,-71,-84,-85,-65,-80,-88,,,,,
7,-67,-61,-61,-61,-83,-61,-67,-68,-77,-77,-76,-71,-68,-79,-72,-71,-74,-68,-67,-63,-27,-74,-74,-27,-58,-27,-34,-35,-34,-58,-85,-74,-71,-59,-72,-50,-49,-78,-79,-64,-49,-77,-71,-63,-79,-84,-50,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-79,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,8,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
8,-67,-61,-61,-61,-83,-61,-67,-68,-77,-77,-76,-71,-68,-79,-72,-71,-74,-68,-67,-63,-27,-74,-74,-27,-58,-27,-34,-35,-34,-58,-85,-74,-71,-59,-72,-50,-49,-78,-79,-64,-49,-77,-71,-63,-79,-84,-50,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-79,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,9,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
9,-67,-61,-61,-61,-83,-61,-67,-68,-77,-77,-76,-71,-68,-79,-72,-71,-74,-68,-67,-63,-27,-74,-74,-27,-58,-27,-34,-35,-34,-58,-85,-74,-71,-59,-72,-50,-49,-78,-79,-64,-49,-77,-71,-63,-79,-84,-50,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-79,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,10,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
