,A4:BD:C4:2E:D7:70 (Dignajas Rozes),A4:BD:C4:2E:D7:74 (Dignajas Rozes 5G),6A:51:48:7C:54:95 (RosaMaria \xF0\x9F\x92\x95),9A:62:AB:67:28:4B (PhPhPhone),4C:75:25:CD:DD:E9 (M5Stick),94:B9:7E:A9:10:15 (M5Atom),room_index,measurement_index,x,y,18:4A:6F:54:B2:82 (ALHN-8A10),84:3E:92:6E:08:58 (OPTIC0852),90:16:BA:F8:CA:B4 (OPTICCAAC),90:16:BA:F8:CA:B8 (OPTICCAAC-5G),90:16:BA:F8:C7:DC (TheForceStrong),84:3E:92:6E:08:5C (OPTIC0852-5G),06:D6:AA:E7:35:25 (AndroidAP3525),B4:E8:42:9A:0E:5A (LEDnet00339A0E5A),F0:68:65:36:11:F9 (ALHN-442D),DC:2C:6E:F6:6F:A2 (LMT-2GHz-6F9D),90:16:BA:F8:C7:D8 (TheForceWeak),84:3E:92:6E:29:5C (Apollo Creed),10:27:F5:3F:31:2B (Ziepis),54:37:BB:B1:71:59 (Diagon Alleys),84:3E:92:6E:29:60 (OPTIC2953-5G),5C:1A:6F:EC:B0:21 (ALHN-A333),1C:43:63:6A:56:F4 (OPTIC56EC),A2:B3:8D:32:AC:0D (HUAWEI_B535_AC32),A2:B3:8D:32:AC:11 (HUAWEI_B535_AC32_5G),8C:DE:F9:0B:E5:89 (Dignajas 12),A2:B3:8D:32:AC:09 (HUAWEI_B535_AC32),F8:0C:58:10:DC:39 (ALHN-C1EF),F0:2F:74:B7:02:00 (Swamp),D4:1A:D1:3E:C6:71 (Baltcom_C671),B4:26:5D:A5:20:A9 (ALHN-76BA),94:00:B0:1D:01:80 (EDGE-h5fG),FA:0C:58:40:DC:3D (),F0:2F:74:B7:02:04 (Swamp),08:55:31:A1:C2:10 (LMT-C20B),28:68:D2:80:AB:C4 (EDGE-q8Ef),5C:1A:6F:EC:B9:8D (ALHN-A45E),5C:1A:6F:EC:C3:7D (ALHN-A532),E4:C3:2A:90:85:DB (House of Cats 2.4 GHz),6C:16:32:B4:45:48 (OPTIC4542),EA:C3:2A:86:C7:D1 (),14:CB:19:E5:58:9C (DIRECT-9B-HP DeskJet 2700 series),E4:C3:2A:86:C7:D1 (TP-Link_C7D1),D4:62:EA:C8:19:BE (RUTTE),10:27:F5:3F:31:2A (Ziepis5G),D4:62:EA:C8:19:C2 (),A4:BD:C4:2F:06:44 (OPTIC063B),88:40:33:7E:27:6C (OPTICCAAC),5C:1A:6F:46:CA:67 (ALHN-D988),68:3A:48:34:82:10 (MTK_SOFT_AP),A8:AD:3D:D3:80:20 (ALHN-8616),68:3A:48:34:82:10 ([washer] Samsung),C4:44:7D:70:58:04 (OPTIC57FE),E2:36:B3:04:C2:89 (smartDongle-F9F8),FA:0C:58:40:DC:39 (),1A:30:14:7A:2C:08 (RosaMaria \xF0\x9F\x92\x95),64:D1:54:87:3F:E6 (MikroTik-873FE6),D4:1A:D1:3E:C6:72 (Baltcom_C671),5C:64:7A:47:46:58 (ALHN-BBED),1C:43:63:6A:56:F8 (OPTIC56EC-5G),FA:0D:AC:EC:1E:E0 (DIRECT-E0-HP Laser 137fnw),88:40:33:7E:27:70 (OPTICCAAC-5G),00:5F:67:46:A6:24 (Dignajas 3B-15),04:D3:B5:6A:88:C7 (HUAWEI-B535-88C7),04:D3:B5:6A:88:CC (HUAWEI-B535-88C7_5G),F0:68:65:36:11:FD (ALHN-442D-5),C4:EA:1D:B7:5A:F1 (TNCAPB75AF1)
0,-69.0,-67.0,-56.0,-62.0,-44.0,-62.0,0.0,1.0,56.0,685.0,-78.0,-81.0,-70.0,-77.0,-85.0,-84.0,-84.0,-83.0,-84.0,-86.0,-73.0,-79.0,-84.0,-84.0,-85.0,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-62.0,-69.0,-57.0,-62.0,-44.0,-71.0,0.0,2.0,168.0,685.0,,-75.0,-78.0,-85.0,-83.0,-82.0,-84.0,,,,-80.0,,,,-86.0,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-71.0,-66.0,-55.0,-54.0,-65.0,-66.0,0.0,3.0,280.0,685.0,-78.0,-75.0,-77.0,-75.0,-83.0,-85.0,-84.0,,-86.0,,-83.0,-79.0,,,,,,,,,,,-83.0,,,,,-82.0,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-74.0,-64.0,-63.0,-58.0,-68.0,-65.0,0.0,4.0,392.0,685.0,,-79.0,-82.0,-81.0,-85.0,-84.0,-88.0,,,,-75.0,-86.0,,,-87.0,,,-87.0,-87.0,,,-82.0,-79.0,,,,,-81.0,,,-74.0,-86.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-70.0,-71.0,-57.0,-56.0,-62.0,-73.0,0.0,5.0,56.0,590.0,-73.0,-79.0,-79.0,-77.0,-83.0,-85.0,,,,,-77.0,,,,,,,,,,,,,,,,,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-62.0,-68.0,-55.0,-53.0,-50.0,-71.0,0.0,6.0,168.0,590.0,,-78.0,-78.0,-77.0,-83.0,-84.0,-80.0,-86.0,-89.0,,-77.0,-80.0,,,-90.0,,,,,,-87.0,,,,,-87.0,,,,,-81.0,,,-86.0,-90.0,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,
6,-62.0,-66.0,-64.0,-53.0,-79.0,-64.0,0.0,7.0,280.0,590.0,,-64.0,-69.0,-75.0,-83.0,-86.0,-81.0,-82.0,-76.0,-86.0,-68.0,-76.0,,,-84.0,,-72.0,,,,,,,,,,,-85.0,,-83.0,,,,,,,-80.0,,-84.0,-82.0,-82.0,,,,,,,,,,,,,,,,,,,,
7,-63.0,-66.0,-68.0,-56.0,-66.0,-65.0,0.0,8.0,392.0,590.0,-79.0,-67.0,-73.0,-75.0,-73.0,-83.0,-82.0,-76.0,,,-80.0,-83.0,,,-83.0,,-79.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,,-77.0,,,,,,,,,,,,,,,,,,,
8,-61.0,-67.0,-62.0,-59.0,-61.0,-65.0,0.0,9.0,56.0,495.0,-75.0,-83.0,-66.0,-77.0,-85.0,-85.0,-87.0,-83.0,-85.0,,-68.0,-80.0,,,-86.0,,-79.0,,,,,,,,,,,,,-83.0,,-88.0,,,,-84.0,,-88.0,,,,,,,,,,,,,,,,,,,,,,,
9,-63.0,-68.0,-62.0,-56.0,-48.0,-65.0,0.0,10.0,168.0,495.0,,-71.0,-78.0,-78.0,-83.0,-81.0,-85.0,-80.0,-77.0,-86.0,-74.0,-80.0,,-88.0,-77.0,-85.0,,,,,,,,,-86.0,-85.0,,-84.0,,,-85.0,-81.0,,,,,-82.0,,,,,-85.0,,,,-81.0,-84.0,,,,,,,,,,,,,,
